name,lat,lng,category,poi_quartier,poi_quartier_arr,match_mode,matched_text,match_confidence,snap_dist_m,current_owner,current_owner_arr,classification
Eglise Baptiste du Benin Temple de Zogbo,6.3886677,2.3824429,place_of_worship,Zogbo,9ème Arrondissement,FULL_SINGLE_UNIQUE,zogbo,0.85,12.8,Zogbohouè,9ème Arrondissement,DISPUTE
CEG Yagbé,6.3720871,2.4705954,college,Yagbé,1er Arrondissement,FULL_SINGLE_UNIQUE,yagbe,0.85,66.1,Yagbé,1er Arrondissement,CONFIRM
Commissariat de Togba,6.4350829,2.3015722,police,Togba_Maria-Gléta,Togba,TOKEN_UNIQUE,togba,0.6,26.3,Houèto,Togba,DISPUTE
École Coranique Jardin du paradis et mosquée centrale RAODAOUL DJANNA DE Zogbohoue,6.3879696,2.3804787,place_of_worship,Zogbohouè,9ème Arrondissement,FULL_SINGLE_UNIQUE,zogbohoue,0.85,102.2,,,NO_NODE
EPP Ouedo Centre,6.45512,2.2636436,school,Ouèdo,Ouèdo,FULL_SINGLE_UNIQUE,ouedo,0.85,53.8,Ouèdo,Ouèdo,CONFIRM
Pharmacie SEDAMI,6.4836965,2.3268054,pharmacy,Sèdami,7ème Arrondissement,FULL_SINGLE_UNIQUE,sedami,0.85,30.2,"Cité-les-Palmiers
",Abomey-Calavi,DISPUTE
Bar Zogbadjè,6.426854,2.3436182,bar,Zogbadjè,Abomey-Calavi,FULL_SINGLE_UNIQUE,zogbadje,0.85,44.6,Zogbadjè,Abomey-Calavi,CONFIRM
Eglise céleste paroisse cité Jéhovah de Togba,6.4620307,2.3061177,place_of_worship,Togba_Maria-Gléta,Togba,TOKEN_UNIQUE,togba,0.6,32.7,Ouéga-Tokpa,Togba,DISPUTE
EPMB Cité de Lumière de Houêto,6.4371096,2.3106453,place_of_worship,Houèto,Togba,FULL_SINGLE_UNIQUE,houeto,0.85,26.5,Tankpê-Yoho,Abomey-Calavi,DISPUTE
Pharmacie AÏTCHEDJI SÉMINAIRE,6.4482965,2.3364319,pharmacy,"Aïtchédji
",Abomey-Calavi,FULL_SINGLE_UNIQUE,aitchedji,0.85,17.8,"Aïtchédji
",Abomey-Calavi,CONFIRM
Mosquée Agori forêt,6.4395433,2.3266613,place_of_worship,Agori,Abomey-Calavi,FULL_SINGLE_UNIQUE,agori,0.85,14.2,"Fifonsi
",Togba,DISPUTE
Église baptiste de Vêdoko,6.3799665,2.3920058,place_of_worship,Védokô,10ème Arrondissement,FULL_SINGLE_UNIQUE,vedoko,0.85,15.6,Missogbé,10ème Arrondissement,DISPUTE
Collège Catholique Père Aupiais,6.3569835,2.4048402,school,Cadjèhoun-Aupiais,12ème Arrondissement,TOKEN_UNIQUE,aupiais,0.6,60.3,Cadjèhoun-Aupiais,12ème Arrondissement,CONFIRM
Marché Dantokpa,6.3727365,2.4333016,marketplace,Dantôkpa,6ème Arrondissement,FULL_SINGLE_UNIQUE,dantokpa,0.85,56.2,Dantôkpa,6ème Arrondissement,CONFIRM
Marché Vêdoko,6.3781811,2.3896977,marketplace,Védokô,10ème Arrondissement,FULL_SINGLE_UNIQUE,vedoko,0.85,17.6,Sètôvi,10ème Arrondissement,DISPUTE
Centre d'éducation générale de Zogbo,6.391435,2.3947911,college,Zogbo,9ème Arrondissement,FULL_SINGLE_UNIQUE,zogbo,0.85,55.2,Yénawa-Fifadji,10ème Arrondissement,DISPUTE
CEG 1 de Cocotomey,6.3978088,2.3000459,school,Cocotomey,Godomey,FULL_SINGLE_UNIQUE,cocotomey,0.85,60.3,"Sodo
",Godomey,DISPUTE
École Primaire Publique de Menontin,6.3917506,2.3615164,school,Mènontin,9ème Arrondissement,FULL_SINGLE_UNIQUE,menontin,0.85,48.6,Kindonou,9ème Arrondissement,DISPUTE
Eglise Saint Michel Gbéto de Cotonou,6.3665666,2.4279225,place_of_worship,Gbéto,5ème Arrondissement,FULL_SINGLE_UNIQUE,gbeto,0.85,76.1,Sèdjro-Saint-Michel,7ème Arrondissement,DISPUTE
CEG Le Plateau,6.4050018,2.3129297,school,"Plateau
",Godomey,FULL_SINGLE_UNIQUE,plateau,0.85,51.3,"Yénandjro
",Godomey,DISPUTE
Marché St Michel,6.3695386,2.4264092,marketplace,Sèdjro-Saint-Michel,7ème Arrondissement,TOKEN_UNIQUE,michel,0.6,58.4,Sèdami,7ème Arrondissement,DISPUTE
Hôpital de Menontin,6.3900724,2.3652683,hospital,Mènontin,9ème Arrondissement,FULL_SINGLE_UNIQUE,menontin,0.85,31.5,Kindonou,9ème Arrondissement,DISPUTE
Centre de santé d’arrondissement (CSA) de Cococodji,6.3837554,2.2717659,clinic,Cococodji,Godomey,FULL_SINGLE_UNIQUE,cococodji,0.85,51.5,Cococodji,Godomey,CONFIRM
Paroisse Jésus Eucharistie,6.3766759,2.3876348,place_of_worship,Ahogbohoué-Cité-Eucharistie,13ème Arrondissement,TOKEN_UNIQUE,eucharistie,0.6,63.2,Houéyihô-Tannou,11ème Arrondissement,DISPUTE
Église catholique Saint-Christophe d’Ayimlonfidé-Ladji,6.391917,2.4320238,place_of_worship,Ladji,6ème Arrondissement,FULL_SINGLE_UNIQUE,ladji,0.85,22.8,Ahouansori-Towéta-Kpota,6ème Arrondissement,DISPUTE
Hôpital Minonkpo (ProFam),6.3675598,2.4777622,hospital,Minonkpô-Wologuèdè,8ème Arrondissement,TOKEN_UNIQUE,minonkpo,0.6,62.8,Dandji,1er Arrondissement,DISPUTE
Commissariat de Tokplégbé,6.3653818,2.4853303,police,Tokplégbé,1er Arrondissement,FULL_SINGLE_UNIQUE,tokplegbe,0.85,52.7,Dandji-Hokanmè,1er Arrondissement,DISPUTE
Mosqué centrale de Joncquet,6.3600526,2.4328,place_of_worship,Avlékété-Joncquet,5ème Arrondissement,TOKEN_UNIQUE,joncquet,0.6,36.3,Avlékété-Joncquet,5ème Arrondissement,CONFIRM
Ecole Primaire Public de TANTO,6.3690974,2.4723394,school,Tanto,1er Arrondissement,FULL_SINGLE_UNIQUE,tanto,0.85,36.6,Tanto,1er Arrondissement,CONFIRM
Paroisse St. Joseph d'Agbato,6.3905978,2.4417963,place_of_worship,Agbatô,3ème Arrondissement,FULL_SINGLE_UNIQUE,agbato,0.85,37.2,Hlacômey,3ème Arrondissement,DISPUTE
Mission des Ambassadeurs pour Christ de Cocotomey,6.3914236,2.3070823,place_of_worship,Cocotomey,Godomey,FULL_SINGLE_UNIQUE,cocotomey,0.85,26.0,"Tokpa
",Godomey,DISPUTE
Mosquée Centrale de Cocotomey,6.3894034,2.3096717,place_of_worship,Cocotomey,Godomey,FULL_SINGLE_UNIQUE,cocotomey,0.85,28.5,"Tokpa
",Godomey,DISPUTE
Centre de Santé de KPANROUN,6.6751182,2.365156,hospital,Kpanroun,Kpanroun,FULL_SINGLE_UNIQUE,kpanroun,0.85,55.6,Kpanroun,Kpanroun,CONFIRM
Hôpital de l'enfant et de la mère lagune,6.3615883,2.4381975,hospital,Abokicodji-Lagune,4ème Arrondissement,TOKEN_UNIQUE,lagune,0.6,21.9,Tokpa-Hoho,5ème Arrondissement,DISPUTE
Cycle Préparatoire Père Aupiais,6.3587513,2.4052276,university,Cadjèhoun-Aupiais,12ème Arrondissement,TOKEN_UNIQUE,aupiais,0.6,57.1,Cadjèhoun-Aupiais,12ème Arrondissement,CONFIRM
Hopital Misséssin,6.3709387,2.4473923,hospital,Misséssin,4ème Arrondissement,FULL_SINGLE_UNIQUE,missessin,0.85,21.3,Gbèdjèwin,4ème Arrondissement,DISPUTE
Centre de santé de Golo-Djigbé,6.5579141,2.3032544,hospital,Golo-Djigbé,Golo-Djigbé,FULL_HYPHEN,golo-djigbe,1.0,60.7,Golo-Djigbé,Golo-Djigbé,CONFIRM
Marché de Golo-Djigbé,6.5583871,2.3010496,marketplace,Golo-Djigbé,Golo-Djigbé,FULL_HYPHEN,golo-djigbe,1.0,21.9,Golo-Djigbé,Golo-Djigbé,CONFIRM
Saint Michel Archange de Gbodjo,6.4728882,2.3594541,place_of_worship,Gbodjo,Abomey-Calavi,FULL_SINGLE_UNIQUE,gbodjo,0.85,34.5,Gbodjo,Abomey-Calavi,CONFIRM
Temple Vaudoum Adahouto Houta,6.3460843,2.2617219,place_of_worship,Fiyégnon-Houta,12ème Arrondissement,TOKEN_UNIQUE,houta,0.6,124.6,,,NO_NODE
Complexe scolaire Michel Dubois de Pahou,6.3848307,2.2082988,college,Sèdjro-Saint-Michel,7ème Arrondissement,TOKEN_UNIQUE,michel,0.6,52.3,,,FILLS_GAP
Marché de Cococodji,6.3887037,2.2782388,marketplace,Cococodji,Godomey,FULL_SINGLE_UNIQUE,cococodji,0.85,31.7,Cococodji,Godomey,CONFIRM
CEG Védoko,6.3821885,2.3889913,college,Védokô,10ème Arrondissement,FULL_SINGLE_UNIQUE,vedoko,0.85,63.5,Sètôvi,10ème Arrondissement,DISPUTE
Ecole primaire publique de Sètovi,6.3829615,2.3854689,school,Sètôvi,10ème Arrondissement,FULL_SINGLE_UNIQUE,setovi,0.85,34.5,Sètôvi,10ème Arrondissement,CONFIRM
"Complexe scolaire Gbéto sud - Groupe A, C, D",6.363477,2.4298785,school,Gbéto,5ème Arrondissement,FULL_SINGLE_UNIQUE,gbeto,0.85,45.0,Gbédokpo,5ème Arrondissement,DISPUTE
École primaire publique de Ladji,6.3908149,2.4296663,school,Ladji,6ème Arrondissement,FULL_SINGLE_UNIQUE,ladji,0.85,36.9,Ladji,6ème Arrondissement,CONFIRM
Église Catholique de Sètovi,6.3803878,2.3833827,place_of_worship,Sètôvi,10ème Arrondissement,FULL_SINGLE_UNIQUE,setovi,0.85,33.0,Védokô,10ème Arrondissement,DISPUTE
CEG Les Pylônes,6.3816587,2.3642183,college,Agla-Les-Pylônes,13ème Arrondissement,TOKEN_UNIQUE,pylones,0.6,75.1,Agla-Les-Pylônes,13ème Arrondissement,CONFIRM
Marché de Kindonou,6.3925969,2.3645584,marketplace,Kindonou,9ème Arrondissement,FULL_SINGLE_UNIQUE,kindonou,0.85,41.2,Kindonou,9ème Arrondissement,CONFIRM
Paroisse St Pierre de Tokan,6.4540078,2.3159999,place_of_worship,Tokan,Togba,FULL_SINGLE_UNIQUE,tokan,0.85,59.0,Tokan,Togba,CONFIRM
Marché Moderne de Tokplègbè,6.3683595,2.4850068,marketplace,Tokplégbé,1er Arrondissement,FULL_SINGLE_UNIQUE,tokplegbe,0.85,53.8,Dandji-Hokanmè,1er Arrondissement,DISPUTE
Complexe Scolaire Akpakpa Nord,6.3784095,2.4440343,school,Akpakpa-Dodomè,4ème Arrondissement,TOKEN_UNIQUE,akpakpa,0.6,63.9,Midombo,3ème Arrondissement,DISPUTE
